genome,domain,phylum,class,order,family,genus,species,completeness,contamination,coding_density,length,N50_length,circularity,length_ratio
GPB:bin_000056,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansia sp905200945,100,0,0.882,2811384,2811384,1,0.9528041693977107
D300462:bin_000001,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes excrementavium,99.8,0.09,0.846,2821488,57160,0,0.9562285089143312
GPB:bin_000009,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,100,0,0.878,5231987,5231987,1,1.7731690255883297
GPB:bin_000051,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,100,0,0.872,4632364,4632364,1,1.5699512173960786
GPB:bin_000010,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,100,0,0.876,4759851,4759851,1,1.6131577466869922
GPB:bin_000002,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Proteus,Proteus mirabilis,100,0,0.847,3812602,3812602,1,1.29212625591312
GPB:bin_000200,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium globosum,92.62,1.74,0.881,2050765,499356,0,0.6950233203485885
GEXTRA:bin_000001,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium animalis,99.98,0.35,0.865,2144878,2136170,0,0.7269190908283689
GPB:bin_000087,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Rubneribacter,Rubneribacter badeniensis,100,0,0.83,3553873,3553873,1,1.2044405929285897
GPB:bin_000078,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Gordonibacter,Gordonibacter urolithinfaciens,100,0,0.869,3524118,3524118,1,1.19435634685604
GPB:bin_000178,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Butyricicoccaceae,Butyricicoccus,Butyricicoccus sp900604335,83.54,0.13,0.88,2769368,191061,0,0.9385645564592383
GPB:bin_000074,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Butyricicoccaceae,Agathobaculum,Agathobaculum sp900557315,100,0,0.864,3757461,3757461,1,1.27343845847785
GPB:bin_000111,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Butyricicoccaceae,Agathobaculum,Agathobaculum intestinigallinarum,100,0,0.866,3112005,3112005,1,1.054687420568134
GPB:bin_000192,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Butyricicoccaceae,Agathobaculum,Agathobaculum sp900291975,94.94,5.18,0.87,3032106,386114,0,1.0276089068074
D300506:bin_000004,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Butyricicoccaceae,Agathobaculum,Agathobaculum stercoravium,96.19,0.51,0.876,2563225,22858,0,0.8687007776612683
D300442:bin_000015,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Butyricicoccaceae,Agathobaculum,Agathobaculum merdipullorum,78.79,7.07,0.886,2858118,11246,0,0.9686427563899653
GPB:bin_000173,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Butyricicoccaceae,Pseudobutyricicoccus,Pseudobutyricicoccus lothianensis,97.34,3.68,0.868,3965444,2120242,0,1.343925830378609
GPB:bin_000112,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Flavonifractor,Flavonifractor avicola,100,0,0.881,3563294,3563294,1,1.2076334573967293
GPB:bin_000140,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Flavonifractor,Flavonifractor plautii,99.99,1.48,0.881,3981591,2322641,0,1.3493981987648789
GPB:bin_000197,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Flavonifractor,Flavonifractor avistercoris,99.99,1.61,0.873,4150567,2121798,0,1.406665735795803
GPB:bin_000019,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,HGM12998,HGM12998 sp900756495,100,0,0.877,3013577,3013577,1,1.0213292564804541
GPB:bin_000027,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Galloscillospira_A,Galloscillospira_A stercoripullorum,100,0,0.873,2666572,2666572,1,0.9037260365710242
GPB:bin_000126,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Intestinimonas,Intestinimonas stercoravium,100,0,0.88,3431821,3431821,1,1.163076035655969
GPB:bin_000181,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Intestinimonas,Intestinimonas pullistercoris,99.96,1.09,0.869,4057965,2066294,0,1.375282057260759
D300430:bin_000010,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Intestinimonas,Intestinimonas timonensis,83.6,7.68,0.889,3001106,17315,0,1.0171027186625825
GPB:bin_000028,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Intestinimonas,unclassified_Intestinimonas,100,0,0.876,3474651,3474651,1,1.1775915207605667
GPB:bin_000213,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,unclassified_Oscillospiraceae,unclassified_Oscillospiraceae,84.49,0.91,0.88,2192832,231730,0,0.7431711471605162
GPB:bin_000088,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Enterenecus,Enterenecus faecium,100,0,0.869,3196684,3196684,1,1.08338592075894
GPB:bin_000080,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Lawsonibacter,Lawsonibacter asaccharolyticus,100,0,0.869,2971752,2971752,1,1.0071543752173255
GPB:bin_000141,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Lawsonibacter,unclassified_Lawsonibacter,89,1.91,0.864,3795591,2357263,0,1.286361069895975
GPB:bin_000034,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Lawsonibacter,Lawsonibacter sp900545895,100,0,0.839,3857571,3857571,1,1.3073666679997098
GPB:bin_000015,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Lawsonibacter,Lawsonibacter pullicola,100,0,0.829,3465011,3465011,1,1.1743244351568234
GPB:bin_000137,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Lawsonibacter,Lawsonibacter sp019424865,86.04,1.96,0.832,2398787,267243,0,0.8129712110110274
GPB:bin_000217,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Lawsonibacter,unclassified_Lawsonibacter,75.32,1.91,0.867,2538302,208093,0,0.8602541413021302
GPB:bin_000211,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,CAJFPI01,unclassified_CAJFPI01,82.64,1.61,0.832,2006641,152293,0,0.6800692866162686
GPB:bin_000186,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Evtepia,Evtepia gabavorous,94.45,0.65,0.87,2642202,442333,0,0.8954668170520178
GPB:bin_000059,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Dysosmobacter,Dysosmobacter avistercoris,100,0,0.867,3350407,3350407,1,1.135484074313319
GPB:bin_000022,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Dysosmobacter,Dysosmobacter pullicola,100,0,0.866,3743724,3743724,1,1.2687828614925158
GPB:bin_000177,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Pelethomonas,unclassified_Pelethomonas,98.99,0.58,0.848,3325945,2195585,0,1.1271936751391731
GPB:bin_000085,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Pelethomonas,Pelethomonas intestinigallinarum,100,0,0.853,3175523,3175523,1,1.0762142611675696
GPB:bin_000097,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Dysosmobacter,Dysosmobacter faecalis,100,0,0.86,2932220,2932220,1,0.9937566129676185
TG5_35:bin_000024,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Scatomorpha,Scatomorpha sp900759385,84.89,6.93,0.891,2730170,15113,0,0.9252799899140594
GPB:bin_000206,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,RUG626,RUG626 sp944385785,82.72,0.1,0.865,1931357,1255750,0,0.6545548392519323
GPB:bin_000114,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Avoscillospira,Avoscillospira stercoripullorum,100,0,0.87,3417659,3417659,1,1.1582764022202625
GPB:bin_000123,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Faecousia,Faecousia gallistercoris,100,0,0.879,3258929,3258929,1,1.104481329825848
GPB:bin_000045,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Acutalibacteraceae,Acutalibacter,Acutalibacter pullistercoris,100,0,0.844,2519477,2519477,1,0.8538741738238661
GPB:bin_000155,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Acutalibacteraceae,Acutalibacter,Acutalibacter sp904391645,84.63,0.12,0.873,2444981,1688256,0,0.8286267869839852
GPB:bin_000060,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Acutalibacteraceae,Acutalibacter,Acutalibacter sp900755895,100,0,0.884,3569397,3569397,1,1.2097018208240782
GPB:bin_000004,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Acutalibacteraceae,Acutalibacter,Acutalibacter stercoravium,100,0,0.875,3213223,3213223,1,1.0889911415888474
GPB:bin_000184,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Acutalibacteraceae,Acutalibacter,Acutalibacter ornithocaccae,99.99,0.23,0.868,3412555,1218363,0,1.1565466091786127
GPB:bin_000166,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Acutalibacteraceae,UBA1417,UBA1417 sp900552925,99.96,1.62,0.872,2919632,2050625,0,0.9894904227622328
TG2_14:bin_000017,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Acutalibacteraceae,Heritagella,Heritagella sp905215105,86.14,0.92,0.884,2267014,27091,0,0.768312116481769
GPB:bin_000210,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Acutalibacteraceae,Gallacutalibacter,Gallacutalibacter pullicola,99.18,1.36,0.834,3983884,886225,0,1.3501753177783005
GPB:bin_000021,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Acutalibacteraceae,Anaeromassilibacillus,Anaeromassilibacillus stercoravium,100,0,0.862,3185737,3185737,1,1.0796758807066393
GPB:bin_000032,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Acutalibacteraceae,Caccousia,Caccousia avistercoris,100,0,0.869,4107450,4107450,1,1.3920529837235422
GPB:bin_000156,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Acutalibacteraceae,Scatavimonas,Scatavimonas merdipullorum,97.88,1.46,0.879,2531435,407890,0,0.8579268511734056
GPB:bin_000086,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Acutalibacteraceae,unclassified_Acutalibacteraceae,unclassified_Acutalibacteraceae,100,0,0.854,3253195,3253195,1,1.1025380239283518
GPB:bin_000082,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Acutalibacteraceae,CAJFUH01,CAJFUH01 sp904420155,100,0,0.842,2927264,2927264,1,0.9920769785016278
GPB:bin_000204,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Acutalibacteraceae,Timburyella,Timburyella stercoris,89.33,1.31,0.797,2107690,238900,0,0.7143157319661281
GPB:bin_000127,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Acutalibacteraceae,Onthovicinus,Onthovicinus excrementipullorum,100,0,0.88,2919488,2919488,1,0.9894416198237536
D300493:bin_000002,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Acutalibacteraceae,Fimenecus,Fimenecus stercoravium,93.1,2.32,0.893,2043415,33325,0,0.6925323370303819
GPB:bin_000133,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Acutalibacteraceae,Onthovicinus,unclassified_Onthovicinus,100,0,0.88,2495716,2495716,1,0.8458213500655112
GPB:bin_000154,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Acutalibacteraceae,UMGS856,unclassified_UMGS856,98.14,0.89,0.881,4101245,2642865,0,1.3899500515481038
D300418:bin_000013,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Acutalibacteraceae,Fimivicinus,Fimivicinus intestinavium,81.41,1.94,0.871,2332804,6434,0,0.7906089589994313
GPB:bin_000016,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Ruminococcaceae,Fournierella,Fournierella sp002161595,100,0,0.876,3519202,3519202,1,1.192690268761849
GPB:bin_000040,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Acutalibacteraceae,Scybalenecus,Scybalenecus merdavium,100,0,0.896,2134796,2134796,1,0.7235022073162383
GPB:bin_000132,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Acutalibacteraceae,Eubacterium_R,Eubacterium_R faecavium,100,0,0.898,2264388,2264388,1,0.7674221406731145
D300526:bin_000001,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Acutalibacteraceae,Eubacterium_R,unclassified_Eubacterium_R,99.62,0.24,0.901,2109938,22372,0,0.7150776000612749
GPB:bin_000215,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Ruminococcaceae,Ruthenibacterium,Ruthenibacterium lactatiformans,96.93,2.11,0.865,4059014,2534162,0,1.3756375731112076
D300418:bin_000001,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Ruminococcaceae,Faeciplasma,Faeciplasma gallinarum,99.49,0.17,0.888,1791036,79551,0,0.6069987480690643
GPB:bin_000065,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Ruminococcaceae,Faecivivens,Faecivivens stercoravium,100,0,0.827,3007090,3007090,1,1.0191307518838273
TG3_35:bin_000005,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Ruminococcaceae,Merdivicinus,Merdivicinus excrementipullorum,96.29,2.12,0.88,2951894,27680,0,1.0004243144373326
GPB:bin_000024,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Ruminococcaceae,Merdivicinus,Merdivicinus intestinavium,100,0,0.877,3673377,3673377,1,1.2449416093175654
D300481:bin_000002,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Ruminococcaceae,Merdivicinus,Merdivicinus intestinigallinarum,96.91,2.1,0.886,2950642,34032,0,1
D300475:bin_000015,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Ruminococcaceae,Egerieicola,Egerieicola faecale,87.56,4.1,0.871,1972849,10847,0,0.6686168637198278
D300521:bin_000006,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Ruminococcaceae,Faecalibacterium,Faecalibacterium faecigallinarum,84.63,1.95,0.88,2086084,14272,0,0.7069932577384854
D300519:bin_000006,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Ruminococcaceae,Gemmiger,Gemmiger avicola,93.76,0.44,0.883,2474647,11478,0,0.8386808701292804
GPB:bin_000130,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Ruminococcaceae,Negativibacillus,Negativibacillus faecipullorum,100,0,0.846,2681577,2681577,1,0.9088113705424108
D300500:bin_000011,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Ruminococcaceae,Gemmiger,Gemmiger stercoravium,77.57,1.21,0.882,1691313,7112,0,0.573201696444367
GPB:bin_000198,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Ruminococcaceae,Avimicrobium,Avimicrobium caecorum,96.45,0,0.856,2187008,382761,0,0.7411973394264706
GPB:bin_000033,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Ruminococcaceae,Anaerotruncus,Anaerotruncus colihominis,100,0,0.874,3478520,3478520,1,1.1789027608228988
GPB:bin_000168,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Ruminococcaceae,Angelakisella,Angelakisella sp904420255,97.11,1.91,0.818,2915354,1082054,0,0.988040568798248
GPB:bin_000071,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Ruminococcaceae,Pararuminococcus,Pararuminococcus gallinarum,100,0,0.874,2835324,2835324,1,0.9609176579198696
GPB:bin_000149,Bacteria,Bacillota_A,Clostridia,UBA1381,UBA1381,Ornithomonoglobus_A,unclassified_Ornithomonoglobus_A,98.66,1.72,0.897,3969956,2794449,0,1.3454549891176226
GPB:bin_000026,Bacteria,Bacillota_A,Clostridia,UBA1381,UBA1381,UBA4716,UBA4716 sp905215805,100,0,0.893,3530557,3530557,1,1.1965385838065072
D300479:bin_000005,Bacteria,Bacillota_A,Clostridia,UBA1381,UBA1381,Ornithomonoglobus,Ornithomonoglobus merdipullorum,96.74,0.23,0.898,3497138,10928,0,1.1852125740770991
TG2_21:bin_000001,Bacteria,Bacillota_A,Clostridia,UBA1381,UBA1381,Ornithomonoglobus,Ornithomonoglobus sp904420525,99.05,0.06,0.901,3559586,25403,0,1.206376781730891
GPB:bin_000093,Bacteria,Bacillota_A,Clostridia,Monoglobales,Monoglobaceae,Roslinia,Roslinia sp019419865,100,0,0.847,3476643,3476643,1,1.1782666280761949
TG3_07:bin_000004,Bacteria,Bacillota_A,Clostridia,TANB77,CAG-508,CAG-269,CAG-269 sp904419495,100,0.28,0.856,1894700,27816,0,0.6421314412253334
GPB:bin_000020,Bacteria,Bacillota_A,Clostridia,TANB77,CAG-508,CAG-269,CAG-269 sp904419095,100,0,0.848,2183377,2183377,1,0.739966759776347
GPB:bin_000073,Bacteria,Bacillota_A,Clostridia,TANB77,CAG-508,CAG-269,unclassified_CAG-269,100,0,0.894,1823093,1823093,1,0.6178631633386904
GPB:bin_000195,Bacteria,Bacillota_A,Clostridia,TANB77,CAG-508,unclassified_CAG-508,unclassified_CAG-508,95.71,2.11,0.829,1884250,318399,0,0.6385898390926449
GPB:bin_000099,Bacteria,Bacillota_A,Clostridia,TANB77,CAG-508,CAG-245,CAG-245 sp944388645,100,0,0.875,1871042,1871042,1,0.6341135251243628
GPB:bin_000122,Bacteria,Bacillota_A,Clostridia,TANB77,CAG-508,JAETTH01,JAETTH01 sp021769225,100,0,0.853,1719972,1719972,1,0.5829144979296031
GPB:bin_000129,Bacteria,Bacillota_A,Clostridia,TANB77,CAG-508,CAG-273,unclassified_CAG-273,100,0,0.844,1556021,1556021,1,0.5273499801060244
TG4_21:bin_000029,Bacteria,Bacillota_A,Clostridia,TANB77,CAG-508,CAG-273,CAG-273 sp944390395,85.87,17.24,0.881,2099222,3887,0,0.711445848056118
GPB:bin_000083,Bacteria,Bacillota_A,Clostridia,TANB77,CAG-508,CAG-273,unclassified_CAG-273,100,0,0.851,1749078,1749078,1,0.5927787918697016
D300514:bin_000003,Bacteria,Bacillota_A,Clostridia,TANB77,CAG-508,CAG-273,unclassified_CAG-273,96.87,1.71,0.846,1619643,21727,0,0.5489120672721394
D300491:bin_000003,Bacteria,Bacillota_A,Clostridia,TANB77,CAG-508,CAG-273,CAG-273 sp944392105,99.07,0.5,0.851,1680789,53628,0,0.5696350150238491
D300521:bin_000005,Bacteria,Bacillota_A,Clostridia,TANB77,CAG-508,CAG-273,CAG-273 sp017886645,94.74,6.93,0.884,1702325,53351,0,0.5769337656008421
D300442:bin_000001,Bacteria,Bacillota_A,Clostridia,Lachnospirales,CAG-274,Tyzzerella,Tyzzerella sp944383305,95.41,0.23,0.866,2386391,19562,0,0.8087700913902804
GPB:bin_000061,Bacteria,Bacillota_A,Clostridia,Lachnospirales,CAG-274,Gallispira,unclassified_Gallispira,100,0,0.854,2856039,2856039,1,0.9679381639656726
D300432:bin_000001,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Anaerotignaceae,Fimicola,Fimicola sp944379995,95.93,0.97,0.89,2795297,79630,0,0.9473521355691406
D300435:bin_000001,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Anaerotignaceae,Anaerotignum,Anaerotignum merdipullorum,99.64,0.51,0.838,2545646,41671,0,0.8627430911645669
GPB:bin_000035,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Anaerotignaceae,Coprocola,Coprocola pullicola,100,0,0.763,4015457,4015457,1,1.3608757009491494
TG5:bin_000031,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Anaerotignaceae,Anaerotignum,Anaerotignum lactatifermentans,98.55,3.04,0.874,2419402,15645,0,0.8199578261273309
TG1:bin_000032,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Anaerotignaceae,Neoanaerotignum_A,Neoanaerotignum_A tabaqchaliae,86.87,2.23,0.853,2361298,10457,0,0.8002658404509934
GPB:bin_000199,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Anaerotignaceae,Metalachnospira,Metalachnospira gallinarum,96.22,7.2,0.858,2642150,731530,0,0.8954491937686782
GPB:bin_000075,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,HGM12545,HGM12545 sp900761925,100,0,0.897,3183624,3183624,1,1.078959765366317
GPB:bin_000176,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Acetatifactor,Acetatifactor stercoripullorum,100,5.55,0.901,3870110,3218566,0,1.311616251649641
GPB:bin_000012,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Choladocola,Choladocola sp944381625,100,0,0.9,3981004,3981004,1,1.3491992590087174
