sample,batch,animal,tissue,treatment,day,treatment_expl,dpi,day_code,type_simple
D300418,S3B009,G041,Digesta,TG2,28,Pathogen&ProbioticWater,21,d,P
D300419,S3B009,G026,Digesta,TG2,7,Pathogen&ProbioticWater,0,a,P
D300420,S3B009,G004,Digesta,TG1,7,Pathogen&Probiotic,0,a,P
D300421,S3B009,G013,Digesta,TG1,28,Pathogen&Probiotic,21,d,P
D300422,S3B009,G073,Digesta,TG3,35,Pathogen&ProbioticFeed,28,e,P
D300423,S3B009,G058,Digesta,TG3,14,Pathogen&ProbioticFeed,7,b,P
D300424,S3B009,G062,Digesta,TG3,21,Pathogen&ProbioticFeed,14,c,P
D300425,S3B009,G063,Digesta,TG3,21,Pathogen&ProbioticFeed,14,c,P
D300426,S3B009,G070,Digesta,TG3,28,Pathogen&ProbioticFeed,21,d,P
D300427,S3B009,G045,Digesta,TG2,28,Pathogen&ProbioticWater,21,d,P
D300428,S3B009,G020,Digesta,TG1,35,Pathogen&Probiotic,28,e,P
D300429,S3B009,G082,Digesta,TG4,14,PathogenOnly,7,b,P
D300430,S3B009,G003,Digesta,TG1,7,Pathogen&Probiotic,0,a,P
D300431,S3B009,G079,Digesta,TG4,7,PathogenOnly,0,a,P
D300432,S3B009,G054,Digesta,TG3,7,Pathogen&ProbioticFeed,0,a,P
D300433,S3B009,G105,Digesta,TG5,14,Control,7,b,P
D300434,S3B009,G111,Digesta,TG5,21,Control,14,c,P
D300435,S3B009,G056,Digesta,TG3,14,Pathogen&ProbioticFeed,7,b,P
D300436,S3B009,G103,Digesta,TG5,14,Control,7,b,P
D300437,S3B009,G072,Digesta,TG3,35,Pathogen&ProbioticFeed,28,e,P
D300438,S3B009,G088,Digesta,TG4,21,PathogenOnly,14,c,P
D300439,S3B009,G036,Digesta,TG2,21,Pathogen&ProbioticWater,14,c,P
D300440,S3B009,G069,Digesta,TG3,28,Pathogen&ProbioticFeed,21,d,P
D300441,S3B009,G057,Digesta,TG3,14,Pathogen&ProbioticFeed,7,b,P
D300442,S3B009,G108,Digesta,TG5,14,Control,7,b,P
D300443,S3B009,G097,Digesta,TG4,35,PathogenOnly,28,e,P
D300444,S3B009,G053,Digesta,TG3,7,Pathogen&ProbioticFeed,0,a,P
D300445,S3B009,G101,Digesta,TG5,7,Control,0,a,P
D300446,S3B009,G027,Digesta,TG2,7,Pathogen&ProbioticWater,0,a,P
D300447,S3B009,G066,Digesta,TG3,28,Pathogen&ProbioticFeed,21,d,P
D300448,S3B009,G087,Digesta,TG4,21,PathogenOnly,14,c,P
D300449,S3B009,G029,Digesta,TG2,7,Pathogen&ProbioticWater,0,a,P
D300450,S3B009,G061,Digesta,TG3,21,Pathogen&ProbioticFeed,14,c,P
D300451,S3B009,G009,Digesta,TG1,21,Pathogen&Probiotic,14,c,P
D300452,S3B009,G076,Digesta,TG4,7,PathogenOnly,0,a,P
D300453,S3B009,G075,Digesta,TG3,35,Pathogen&ProbioticFeed,28,e,P
D300454,S3B009,G012,Digesta,TG1,21,Pathogen&Probiotic,14,c,P
D300455,S3B009,G114,Digesta,TG5,21,Control,14,c,P
D300456,S3B009,G064,Digesta,TG3,21,Pathogen&ProbioticFeed,14,c,P
D300457,S3B009,G055,Digesta,TG3,14,Pathogen&ProbioticFeed,7,b,P
D300458,S3B009,G046,Digesta,TG2,35,Pathogen&ProbioticWater,28,e,P
D300459,S3B009,G005,Digesta,TG1,14,Pathogen&Probiotic,7,b,P
D300460,S3B009,G112,Digesta,TG5,21,Control,14,c,P
D300461,S3B009,G065,Digesta,TG3,28,Pathogen&ProbioticFeed,21,d,P
D300462,S3B009,G002,Digesta,TG1,7,Pathogen&Probiotic,0,a,P
D300463,S3B009,G077,Digesta,TG4,7,PathogenOnly,0,a,P
D300464,S3B009,G123,Digesta,TG5,35,Control,28,e,P
D300465,S3B009,G074,Digesta,TG3,35,Pathogen&ProbioticFeed,28,e,P
D300466,S3B009,G014,Digesta,TG1,28,Pathogen&Probiotic,21,d,P
D300467,S3B009,G042,Digesta,TG2,28,Pathogen&ProbioticWater,21,d,P
D300468,S3B009,G010,Digesta,TG1,21,Pathogen&Probiotic,14,c,P
D300469,S3B009,G116,Digesta,TG5,28,Control,21,d,P
D300470,S3B009,G107,Digesta,TG5,14,Control,7,b,P
D300471,S3B009,G080,Digesta,TG4,14,PathogenOnly,7,b,P
D300472,S3B009,G081,Digesta,TG4,14,PathogenOnly,7,b,P
D300473,S3B009,G032,Digesta,TG2,14,Pathogen&ProbioticWater,7,b,P
D300474,S3B009,G095,Digesta,TG4,35,PathogenOnly,28,e,P
D300475,S3B009,G035,Digesta,TG2,21,Pathogen&ProbioticWater,14,c,P
D300476,S3B009,G007,Digesta,TG1,14,Pathogen&Probiotic,7,b,P
D300477,S3B009,G106,Digesta,TG5,14,Control,7,b,P
D300478,S3B009,G047,Digesta,TG2,35,Pathogen&ProbioticWater,28,e,P
D300479,S3B009,G104,Digesta,TG5,7,Control,0,a,P
D300480,S3B009,G023,Digesta,TG1,35,Pathogen&Probiotic,28,e,P
D300481,S3B009,G060,Digesta,TG3,21,Pathogen&ProbioticFeed,14,c,P
D300482,S3B009,G052,Digesta,TG3,7,Pathogen&ProbioticFeed,0,a,P
D300483,S3B009,G016,Digesta,TG1,28,Pathogen&Probiotic,21,d,P
D300484,S3B009,G049,Digesta,TG2,35,Pathogen&ProbioticWater,28,e,P
D300485,S3B009,G067,Digesta,TG3,28,Pathogen&ProbioticFeed,21,d,P
D300486,S3B009,G031,Digesta,TG2,14,Pathogen&ProbioticWater,7,b,P
D300487,S3B009,G006,Digesta,TG1,14,Pathogen&Probiotic,7,b,P
D300488,S3B009,G091,Digesta,TG4,28,PathogenOnly,21,d,P
D300489,S3B009,G093,Digesta,TG4,28,PathogenOnly,21,d,P
D300490,S3B009,G044,Digesta,TG2,28,Pathogen&ProbioticWater,21,d,P
D300491,S3B009,G092,Digesta,TG4,28,PathogenOnly,21,d,P
D300492,S3B009,G028,Digesta,TG2,7,Pathogen&ProbioticWater,0,a,P
D300493,S3B009,G120,Digesta,TG5,28,Control,21,d,P
D300494,S3B009,G059,Digesta,TG3,14,Pathogen&ProbioticFeed,7,b,P
D300495,S3B009,G048,Digesta,TG2,35,Pathogen&ProbioticWater,28,e,P
D300496,S3B009,G043,Digesta,TG2,28,Pathogen&ProbioticWater,21,d,P
D300497,S3B009,G125,Digesta,TG5,35,Control,28,e,P
D300498,S3B009,G008,Digesta,TG1,21,Pathogen&Probiotic,14,c,P
D300499,S3B009,G121,Digesta,TG5,35,Control,28,e,P
D300500,S3B009,G085,Digesta,TG4,21,PathogenOnly,14,c,P
D300501,S3B009,G051,Digesta,TG3,7,Pathogen&ProbioticFeed,0,a,P
D300502,S3B009,G089,Digesta,TG4,21,PathogenOnly,14,c,P
D300503,S3B009,G122,Digesta,TG5,35,Control,28,e,P
D300504,S3B009,G039,Digesta,TG2,21,Pathogen&ProbioticWater,14,c,P
D300505,S3B009,G119,Digesta,TG5,28,Control,21,d,P
D300506,S3B009,G033,Digesta,TG2,14,Pathogen&ProbioticWater,7,b,P
D300507,S3B009,G110,Digesta,TG5,21,Control,14,c,P
D300508,S3B009,G090,Digesta,TG4,28,PathogenOnly,21,d,P
D300509,S3B009,G019,Digesta,TG1,35,Pathogen&Probiotic,28,e,P
D300510,S3B009,G017,Digesta,TG1,28,Pathogen&Probiotic,21,d,P
D300511,S3B009,G094,Digesta,TG4,28,PathogenOnly,21,d,P
D300512,S3B009,G050,Digesta,TG2,35,Pathogen&ProbioticWater,28,e,P
D300513,S3B009,G113,Digesta,TG5,21,Control,14,c,P
D300514,S3B009,G098,Digesta,TG4,35,PathogenOnly,28,e,P
D300515,S3B009,G124,Digesta,TG5,35,Control,28,e,P
D300516,S3B009,G018,Digesta,TG1,28,Pathogen&Probiotic,21,d,P
D300517,S3B009,G021,Digesta,TG1,35,Pathogen&Probiotic,28,e,P
D300518,S3B009,G086,Digesta,TG4,21,PathogenOnly,14,c,P
D300519,S3B009,G040,Digesta,TG2,21,Pathogen&ProbioticWater,14,c,P
D300520,S3B009,G118,Digesta,TG5,28,Control,21,d,P
D300521,S3B009,G099,Digesta,TG4,35,PathogenOnly,28,e,P
D300522,S3B009,G084,Digesta,TG4,14,PathogenOnly,7,b,P
D300523,S3B009,G071,Digesta,TG3,35,Pathogen&ProbioticFeed,28,e,P
D300524,S3B009,G115,Digesta,TG5,28,Control,21,d,P
D300525,S3B009,G011,Digesta,TG1,21,Pathogen&Probiotic,14,c,P
D300526,S3B009,G096,Digesta,TG4,35,PathogenOnly,28,e,P
D300527,S3B009,G037,Digesta,TG2,21,Pathogen&ProbioticWater,14,c,P
D300528,S3B009,G030,Digesta,TG2,14,Pathogen&ProbioticWater,7,b,P
D300529,S3B009,G024,Digesta,TG1,35,Pathogen&Probiotic,28,e,P
D300530,S3B009,G000,Digesta,TG0,NA,NA,NA,NA,N
D300531,S3B009,G000,Digesta,TG0,NA,NA,NA,NA,N
