model_id	environmental_initial_seeds	non_environmental_initial_seeds	total_initial_seeds	updated_seeds	initial_non_seeds	updated_non_seeds
GPB:bin_000210	171	46	217	217	867	867
GPB:bin_000032	178	51	229	229	885	885
GPB:bin_000143	173	43	216	216	934	934
GPB:bin_000082	130	44	174	174	806	806
GPB:bin_000140	167	63	230	230	961	961
GPB:bin_000200	139	32	171	171	812	812
GPB:bin_000025	139	35	174	174	761	761
TG3_14:bin_000007	167	28	195	195	747	747
GPB:bin_000148	126	45	171	171	773	773
GPB:bin_000206	134	43	177	177	757	757
GPB:bin_000075	114	49	163	163	802	802
TG2_07:bin_000029	163	42	205	205	837	837
GPB:bin_000024	120	37	157	157	777	777
D300526:bin_000014	168	39	207	207	920	920
GPB:bin_000027	144	52	196	196	830	830
GPB:bin_000152	157	56	213	213	891	891
GPB:bin_000197	157	44	201	201	930	930
GPB:bin_000151	125	66	191	191	807	807
GPB:bin_000183	131	41	172	172	789	789
D300511:bin_000002	161	53	214	214	865	865
GPB:bin_000159	138	54	192	192	850	850
GPB:bin_000099	103	42	145	145	554	554
GPB:bin_000202	139	57	196	196	880	880
D300499:bin_000015	178	46	224	224	935	935
GPB:bin_000087	122	51	173	173	850	850
GPB:bin_000209	158	41	199	199	897	897
GPB:bin_000166	151	32	183	183	804	804
TG1:bin_000010	128	39	167	167	669	669
GPB:bin_000124	156	58	214	214	878	878
D300506:bin_000004	155	51	206	206	869	869
GPB:bin_000038	146	38	184	184	820	820
GPB:bin_000163	131	34	165	165	685	685
GPB:bin_000028	133	49	182	182	951	951
D300430:bin_000010	151	66	217	217	930	930
TG2:bin_000055	135	25	160	160	582	582
TG5_28:bin_000004	147	33	180	180	681	681
TG5:bin_000031	129	43	172	172	805	805
D300521:bin_000006	159	43	202	202	832	832
GPB:bin_000195	99	33	132	132	547	547
GPB:bin_000040	147	38	185	185	805	805
GPB:bin_000043	118	25	143	143	621	621
TG1:bin_000047	127	31	158	158	660	660
GPB:bin_000004	152	38	190	190	827	827
GPB:bin_000033	159	56	215	215	945	945
GPB:bin_000084	158	48	206	206	889	889
GPB:bin_000194	172	52	224	224	901	901
GPB:bin_000198	132	36	168	168	741	741
GEXTRA:bin_000002	162	32	194	194	771	771
GPB:bin_000136	137	46	183	183	718	718
GPB:bin_000005	176	41	217	217	931	931
GPB:bin_000192	130	63	193	193	880	880
TG3:bin_000068	169	40	209	209	769	769
GPB:bin_000020	103	44	147	147	601	601
GPB:bin_000078	131	49	180	180	849	849
GPB:bin_000176	143	53	196	196	834	834
D300479:bin_000005	144	35	179	179	777	777
TG5_14:bin_000008	151	53	204	204	802	802
GPB:bin_000065	143	37	180	180	833	833
GPB:bin_000010	310	26	336	336	1306	1306
TG5:bin_000047	157	48	205	205	871	871
GPB:bin_000056	146	37	183	183	888	888
D300462:bin_000001	100	36	136	136	800	800
GPB:bin_000089	168	45	213	213	975	975
D300521:bin_000005	108	41	149	149	626	626
GPB:bin_000053	138	51	189	189	835	835
D300526:bin_000001	141	43	184	184	760	760
TG5_35:bin_000022	148	35	183	183	732	732
GPB:bin_000001	155	46	201	201	958	958
TG3:bin_000002	117	35	152	152	715	715
GPB:bin_000069	149	54	203	203	915	915
GPB:bin_000213	128	55	183	183	851	851
GEXTRA:bin_000004	150	37	187	187	773	773
D300452:bin_000016	164	42	206	206	898	898
D300514:bin_000003	94	43	137	137	556	556
GPB:bin_000003	151	57	208	208	850	850
GPB:bin_000031	146	41	187	187	863	863
GPB:bin_000041	129	40	169	169	656	656
GPB:bin_000086	157	42	199	199	826	826
TG4_21:bin_000029	90	28	118	118	466	466
TG3_35:bin_000005	140	44	184	184	803	803
TG4:bin_000055	153	51	204	204	863	863
D300442:bin_000001	140	34	174	174	702	702
GPB:bin_000051	312	33	345	345	1319	1319
GPB:bin_000076	167	39	206	206	845	845
GPB:bin_000034	162	53	215	215	939	939
GPB:bin_000112	142	48	190	190	833	833
GPB:bin_000153	90	29	119	119	474	474
GPB:bin_000059	147	39	186	186	855	855
TG2_14:bin_000017	158	44	202	202	810	810
TG1:bin_000014	140	43	183	183	750	750
D300509:bin_000001	147	43	190	190	769	769
GPB:bin_000190	141	45	186	186	825	825
D300472:bin_000003	149	52	201	201	816	816
GPB:bin_000092	138	40	178	178	812	812
GPB:bin_000181	123	56	179	179	916	916
GEXTRA:bin_000006	148	39	187	187	706	706
GPB:bin_000054	161	40	201	201	892	892
GPB:bin_000021	117	50	167	167	799	799
TG5_35:bin_000001	134	42	176	176	714	714
TG2:bin_000059	163	46	209	209	823	823
GPB:bin_000074	164	61	225	225	913	913
TG1:bin_000032	125	53	178	178	823	823
GPB:bin_000125	164	42	206	206	893	893
GPB:bin_000088	141	50	191	191	823	823
GPB:bin_000009	329	33	362	362	1393	1393
TG3_28:bin_000041	178	51	229	229	844	844
GPB:bin_000016	166	40	206	206	894	894
GPB:bin_000114	170	51	221	221	895	895
GPB:bin_000131	129	47	176	176	709	709
D300432:bin_000001	129	45	174	174	778	778
GPB:bin_000073	106	37	143	143	562	562
GPB:bin_000212	125	33	158	158	661	661
D300500:bin_000011	153	44	197	197	759	759
GPB:bin_000149	137	32	169	169	775	775
GPB:bin_000189	101	35	136	136	716	716
GPB:bin_000026	137	35	172	172	755	755
GPB:bin_000184	162	39	201	201	834	834
TG2_28:bin_000031	142	40	182	182	789	789
GPB:bin_000023	164	42	206	206	857	857
GPB:bin_000111	136	44	180	180	785	785
GPB:bin_000132	144	53	197	197	773	773
D300435:bin_000001	113	44	157	157	816	816
D300458:bin_000001	125	37	162	162	676	676
D300442:bin_000015	155	41	196	196	847	847
GPB:bin_000135	158	44	202	202	899	899
GPB:bin_000137	135	46	181	181	832	832
GPB:bin_000012	148	40	188	188	885	885
GPB:bin_000049	141	58	199	199	810	810
GPB:bin_000161	102	31	133	133	500	500
TG2_21:bin_000001	138	42	180	180	790	790
GPB:bin_000154	148	41	189	189	824	824
TG1_21:bin_000035	173	50	223	223	885	885
GPB:bin_000141	155	52	207	207	925	925
TG5_35:bin_000024	151	57	208	208	918	918
GPB:bin_000083	87	36	123	123	580	580
TG3_35:bin_000033	163	44	207	207	852	852
GPB:bin_000119	143	34	177	177	731	731
TG2:bin_000003	159	36	195	195	804	804
GPB:bin_000127	144	45	189	189	818	818
GPB:bin_000142	114	33	147	147	738	738
GPB:bin_000080	142	57	199	199	911	911
GPB:bin_000085	156	42	198	198	837	837
GPB:bin_000211	128	57	185	185	806	806
GPB:bin_000094	168	37	205	205	884	884
TG4_21:bin_000043	172	48	220	220	893	893
GPB:bin_000204	115	39	154	154	686	686
GPB:bin_000155	155	32	187	187	772	772
D300492:bin_000003	154	46	200	200	860	860
GPB:bin_000171	146	48	194	194	840	840
GPB:bin_000097	144	55	199	199	905	905
GPB:bin_000122	92	29	121	121	545	545
GPB:bin_000019	142	51	193	193	893	893
D300511:bin_000016	176	39	215	215	867	867
GPB:bin_000129	86	42	128	128	536	536
GPB:bin_000186	115	45	160	160	822	822
GPB:bin_000015	136	48	184	184	899	899
GPB:bin_000133	142	41	183	183	779	779
D300519:bin_000006	141	41	182	182	817	817
GPB:bin_000104	159	49	208	208	913	913
D300474:bin_000012	144	40	184	184	812	812
GPB:bin_000116	142	40	182	182	837	837
GPB:bin_000113	110	36	146	146	719	719
GPB:bin_000170	145	46	191	191	826	826
GPB:bin_000093	125	34	159	159	806	806
GPB:bin_000126	135	64	199	199	902	902
GPB:bin_000175	163	47	210	210	882	882
GPB:bin_000193	130	61	191	191	789	789
GPB:bin_000039	173	35	208	208	841	841
GPB:bin_000014	137	49	186	186	816	816
GPB:bin_000139	146	44	190	190	764	764
GPB:bin_000173	140	37	177	177	834	834
D300491:bin_000003	108	35	143	143	557	557
D300479:bin_000001	153	29	182	182	734	734
TG3_07:bin_000004	99	41	140	140	623	623
GPB:bin_000002	295	29	324	324	1222	1222
TG5_28:bin_000003	145	42	187	187	765	765
GPB:bin_000145	213	46	259	259	1111	1111
GPB:bin_000061	124	38	162	162	760	760
D300443:bin_000003	159	45	204	204	782	782
GPB:bin_000177	156	42	198	198	852	852
D300481:bin_000002	149	35	184	184	814	814
GEXTRA:bin_000001	125	37	162	162	799	799
GPB:bin_000208	165	60	225	225	850	850
GPB:bin_000185	137	41	178	178	749	749
GPB:bin_000017	154	37	191	191	833	833
GPB:bin_000172	148	54	202	202	963	963
TG4_14:bin_000001	172	30	202	202	842	842
GPB:bin_000215	158	40	198	198	873	873
GPB:bin_000156	116	35	151	151	746	746
D300443:bin_000002	164	40	204	204	788	788
D300482:bin_000009	134	44	178	178	806	806
GPB:bin_000199	134	63	197	197	827	827
D300418:bin_000013	152	43	195	195	782	782
GPB:bin_000022	137	48	185	185	857	857
D300428:bin_000008	119	37	156	156	655	655
D300444:bin_000010	171	48	219	219	898	898
GPB:bin_000035	116	44	160	160	818	818
GPB:bin_000100	132	45	177	177	801	801
GPB:bin_000057	158	45	203	203	907	907
GPB:bin_000147	153	33	186	186	859	859
D300418:bin_000001	145	45	190	190	744	744
GPB:bin_000042	144	52	196	196	806	806
GPB:bin_000060	158	41	199	199	841	841
GPB:bin_000055	165	49	214	214	863	863
GPB:bin_000070	103	31	134	134	639	639
TG1:bin_000020	160	38	198	198	765	765
GPB:bin_000095	145	38	183	183	772	772
GPB:bin_000217	148	48	196	196	840	840
GPB:bin_000067	148	48	196	196	840	840
GPB:bin_000058	145	46	191	191	846	846
GPB:bin_000115	159	54	213	213	845	845
GPB:bin_000178	153	61	214	214	810	810
TG3_28:bin_000042	149	45	194	194	804	804
GPB:bin_000146	162	49	211	211	851	851
D300475:bin_000015	146	36	182	182	740	740
D300493:bin_000002	146	39	185	185	772	772
TG2_21:bin_000011	94	29	123	123	506	506
GPB:bin_000168	149	37	186	186	865	865
GPB:bin_000029	133	40	173	173	812	812
GPB:bin_000130	147	38	185	185	743	743
GPB:bin_000071	128	36	164	164	782	782
GPB:bin_000045	148	44	192	192	804	804
GPB:bin_000123	148	35	183	183	800	800
