treatment	TG1	TG1	TG1	TG1	TG1	TG1	TG1	TG1	TG1	TG1	TG1	TG1	TG1	TG1	TG1	TG1	TG1	TG1	TG1	TG1	TG1	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG2	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG3	TG4	TG4	TG4	TG4	TG4	TG4	TG4	TG4	TG4	TG4	TG4	TG4	TG4	TG4	TG4	TG4	TG4	TG4	TG4	TG4	TG4	TG4	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5
L-Proline	17729266.0329122	28708584.6936675	19817650.3652778	25720478.0264693	21524557.6944761	17005010.1709268	12685703.3847123	12588456.6070502	15811262.9542262	15857510.0756701	16948560.7500501	16813174.6648037	17203479.2952955	16091505.1743218	18985765.343811	80577035.9264678	45186243.9890518	28161809.7471978	55449064.2759294	43824164.7839122	73416065.8743232	14824501.2221481	18566831.9855058	24134931.6276234	13319801.1219875	27003525.1011585	31345785.7178294	27362608.9168593	15779622.9726249	11310957.8439247	21300111.3776676	22717565.5986872	32767208.8884666	17178234.8090344	15921928.2207477	27952971.4095882	27324742.468153	37286816.2311277	54599102.2868532	53102694.3227775	6422410.72767067	19140539.4351893	14892315.5899709	12733222.8009697	39972225.9419426	53441574.152265	21290462.2724559	34990935.0394233	18838795.6205128	41281778.4096188	14417076.0802165	13193049.4887828	15587220.4293861	14580460.2014166	13391086.5673492	13275217.5429157	25697006.8396592	15881893.9018255	26186005.1596274	16530238.3398971	6900413.81959614	23359216.3584426	21182647.5015199	22259357.5640635	14772594.1522931	19360819.3033217	22038464.2458989	14285254.2555988	20871696.9053783	31480792.2552411	18779216.8076187	22783080.0337712	21395121.0798878	16908091.3995128	12486153.1050461	14837057.024909	16461339.4196529	14571991.6928789	16690967.8735789	13406200.2374728	15675495.967069	18817815.9388492	16521306.2212459	30786392.0364292	49080867.7588116	61419402.2889256	54527491.8937863	16511455.1473719	22301685.723994	34379107.7953695	69936914.9362503	122048336.33707	41342302.1796512	38666560.8759664	37007977.061619	14460317.3729259	62563820.7358031	43633398.8227498	41812351.4615349	62313491.0853726	43565133.6709854	56346819.4541941	53098718.9958462	47035728.3063182	48934291.0668912	23449078.0413309	23732365.7478573	32339378.0244238	66541297.9007787	27479413.0930823	27313934.2628847
L-Threonine	2257556.61490751	2057270.14150281	1127103.0498634	1911338.54070942	1122410.48109219	1032654.61414657	973339.529901107	1171653.60745971	1327023.39278544	950597.380284107	1156147.04783242	1278720.17923322	1109500.86773465	1268830.79319397	1847447.18760237	1597393.54122626	992525.147030923	948239.952959151	1045676.8857286	1168939.41390693	1347135.6058339	1051211.05346766	1112603.62330686	1122247.91948974	1437337.06511927	1309221.7012812	1655773.14793451	702802.453298399	795536.633916273	1240195.91052948	1382129.99156904	887160.632505565	1027320.12851255	1000186.40405516	637921.517652106	708781.097332616	507299.957797631	1099022.29423688	1372989.3542741	1560454.43786325	641073.386415994	879222.24153441	857313.341047439	3328690.80933187	811575.271597883	947254.750316571	1254161.58118472	744146.687407654	917309.306368319	938035.213037992	923874.928325513	1003458.27707484	827787.364196453	902898.057534373	1267403.01636535	928081.323646823	1184666.03575901	794545.83444762	1278057.14044163	776335.993665195	759947.705486272	1578549.3796477	1262634.78089117	1810641.1037616	986059.625618002	1077074.68380679	1355080.63602229	1395931.03705655	625919.87565746	754280.520699464	659203.078504068	869393.230748368	676859.44142117	530872.5718514	1144614.96619171	1447679.73180435	496543.163527181	506802.549338155	614121.751190649	968291.676720186	1706118.80482168	1399034.79332084	1084855.3701308	1775329.41227897	1952140.55860026	1801088.71283954	952953.772039698	586347.48069909	1171925.505477	807365.540345886	868111.429114267	617984.480659536	722718.769082795	1086003.69144662	905242.471174124	930567.557230928	1074052.70063732	1105307.32676016	888778.726975452	1539036.99038989	829386.099982365	779540.027788032	997959.499854102	976847.601540503	1506980.61345756	1293955.78372007	1188287.26208451	820249.299794203	1103338.87546518	892947.565854585	669131.108252029
Thiamine	3394150.92000427	5155233.15281651	3528561.49540519	5088619.57050951	1825432.15136021	245029.177042984	268766.507210829	633621.061267495	856418.334277792	568414.410524744	323857.374356171	792366.579559075	84382.0327563287	609706.255053388	1040233.34586091	317221.805884352	577744.142277456	776722.778722778	250806.67546802	806185.892527081	1314499.48998977	487264.724025797	2461460.11303506	7820952.87865307	4411537.76236213	6454116.01590208	5797994.37542582	251141.764754415	278668.520431184	743807.823767373	407567.725498382	312300.518043791	1112766.24904624	660915.546479349	679775.573716377	94751.0799717825	308916.200295837	635443.616023487	2234744.50315644	1750140.82912629	1147837.91776568	911624.235482515	735940.213081197	2558111.32001954	413869.630746006	371526.700871821	544642.36988976	437486.410191464	804103.649336384	610097.197766834	397258.466691091	287922.367262637	196521.598671951	626680.389208536	865189.656961373	1663451.04091786	1128123.68000419	440823.171232723	486403.015182218	455796.482080954	1742219.7620015	2024028.23388784	551194.119113796	5537109.03261028	885715.152827034	783712.072677079	1539648.52850671	1493021.98056378	269355.477639247	548102.889271037	332742.463628482	1792615.32924424	786082.217834244	333257.008480889	271272.119813972	1242454.46197879	385192.433851038	365657.229134487	381920.323266041	402106.992619301	1018567.30812313	496498.552120749	550048.153944498	6342834.24454076	4577377.6229992	803928.29370102	1115781.46463935	704475.40236462	713251.31386297	437365.305516008	1655512.32911804	398817.559582186	996705.196849242	1393204.14267031	2424759.56749733	705682.586457115	327232.16347521	841287.107053876	448822.468361863	3107009.98258691	623314.550624421	190224.203448771	52817.8418404115	43536.2410848922	512785.702184162	203810.65674581	16185.9371933174	26189.6968821212	59263.531251337	58423.3345337449	117566.91780349
Adenine	1405613.26592634	204119.355710356	180568.727813959	408014.536083774	171948.095854082	1315236.52423893	2103120.71709908	733586.381044953	2302015.14989899	512026.925805702	430732.544410782	748530.167060603	502619.805998879	672890.398633617	2705180.34658893	330018.493665018	279852.443222645	236305.968612439	316995.745101639	414925.224575436	274027.469227779	582298.662411947	227381.146172668	174200.051060854	476732.154021295	268630.423686782	375679.578344162	1043634.44416266	903972.952822469	846996.055958636	824356.74641159	998444.353868932	1077213.03642253	734036.146161758	718060.369228913	1873188.14467638	1229448.08985121	603557.01015225	705863.657247228	1419618.48986017	3181672.35274306	368741.908064304	204318.748944749	2056875.60044646	352962.298019859	1021154.6065363	1283364.99959779	1531457.01054575	895821.805126605	1392938.62423331	4556552.8024641	535861.203474834	624757.671914479	1233975.48552047	2550530.7918573	503684.759564688	451928.773954188	1002670.6237529	1658904.54529243	704347.875009029	2664050.46672739	2469502.53626884	4943088.61172033	4173485.22639773	634687.277356358	444230.379091642	483341.693679449	475723.464737906	385804.386149091	430605.609853712	683493.840411676	554299.510076766	271684.631063928	1076427.24262118	2703428.28224125	2230256.00504919	1724819.5449541	1618105.00975096	2733761.5502132	2480441.35862252	5370647.25313628	1588447.73628628	2550165.87633975	730935.677330417	2233088.80703631	910319.614557797	681720.090014333	332391.182203954	577711.30787195	823355.059564421	932070.014334111	2280366.90698042	382810.859081755	464148.144478167	238893.091245005	167241.371375232	424157.806566793	444358.145419193	232407.853359332	672634.22874015	414215.164679359	411093.962679449	440983.585501616	413817.209937709	685535.083342584	496824.697818138	410715.225819256	463903.5446973	421081.969830812	597861.071114472	360081.80370957
Guanosine	679256.115547903	78328.400703066	65575.8842758691	90244.5244418956	58848.3826563774	135409.225748569	72474.1880703753	275971.382351457	465621.710465543	230203.712437099	128707.915276798	193130.669580726	144687.082638396	161813.288777536	176521.535743262	51827.8184180946	56510.0660905165	51881.3857507178	55958.0810703629	82569.5052094479	58280.0933429792	52742.0697162176	52791.5422619802	47300.8701079648	246875.527728814	31952.9238106039	41176.7234882045	39973.6578362305	71553.8711105321	132544.307208543	131953.795847486	20965.7292274752	263436.93974219	198046.881388141	81999.0377969289	146575.998826713	53800.2150926475	89043.1829380891	80180.6202559899	112158.259232269	11603.6679464751	211199.770963612	105525.838171585	967714.588397126	71758.4918581006	146875.688748596	317286.057563234	117943.678070876	135131.757324503	142230.933414074	79818.0384658317	80232.8434735945	185328.024487737	116203.889359038	224067.202107726	239851.623751468	268698.387623143	172573.482904514	266995.298365791	132294.676268756	139233.514700076	49965.8912260684	14409.6172466404	29996.3183968666	51184.1733736829	117450.574464018	51641.507774056	140751.403203207	111738.623477797	225340.843443295	119798.986914573	255607.542343105	149424.4519421	138158.024632875	190459.460074064	445689.558782307	59145.4475165918	69720.120478569	113314.780102619	92843.7050258472	421423.95564074	269646.442382713	212910.31160987	110032.977234091	63772.4302260328	45702.1946257196	37921.528392049	129476.273271268	166498.651990938	59848.0063731687	57364.4154583106	36504.8856917234	116434.494970427	102578.474219484	100748.330767189	51922.3465356185	116688.175077471	117743.118856052	60970.3551617568	378020.146628075	94516.0517959005	59568.9916592097	258268.953401772	120334.36804891	187988.355778341	400027.076625357	352001.20354717	185803.498188704	210226.01065619	342650.815527941	104680.837980535
L-Valine	7368018.0674571	4891955.79679389	5056964.86094769	5500886.19988458	3338408.48762353	2537099.59240535	12021942.3677178	3124842.14231636	3279866.18646623	3378353.53072242	10498214.8864025	5982769.10348382	3370473.77836607	4037457.3598163	3428072.10282193	1828762.0358419	1900629.97991772	2083487.81946076	2348695.92665263	2920771.75821962	1401004.21430518	4123943.80237264	2602928.1562074	1714070.1826751	3196401.70504541	2108924.15587498	4206638.06547158	1473539.01012714	1820709.73688661	3797082.19710571	2658056.58276983	1181845.95127301	3090843.23935542	3560269.89769694	2160281.42850661	2311152.88682523	1670243.94225791	991956.005021833	2359373.64499651	2421474.959688	33257273.0452024	2062105.86978432	2758140.85568491	10722183.9301362	2061259.8672513	1006163.02493595	3183592.50939166	1424714.99284816	1854461.58663241	1195958.80036111	3061461.70054721	2747059.81688806	3131641.60941963	2507187.01251637	4148953.7389333	4077071.81287503	3191309.33336894	2708411.72183357	3248159.08155305	2110369.50058678	28786941.0257315	4565929.23878665	4312175.36951674	7686267.97920313	3091511.95347725	3550724.86579205	2489983.3451443	2046428.94336249	1367248.62188526	1395437.74814255	1465201.33279272	1728882.77567334	1954085.7630102	1789694.51895334	2585711.01057862	4046409.01568536	2465371.28501079	2939360.26213756	1974765.4135151	2458323.66726031	5807263.82458739	5263210.58899694	3223522.59200952	17021659.269514	3598401.43300449	1044243.70176604	1386225.30957274	2110583.28445651	2780372.27416743	1721459.30554308	787143.641074013	505982.048455522	682533.647148833	1083864.9853681	2736470.87923108	2825054.30418098	791016.26958268	1407749.83731183	1289323.58218797	3022541.22640488	1620275.19881559	854093.502135506	2048338.2262714	2196005.33391588	2512558.35897183	4471752.15049001	2982403.01996402	1071228.60128819	1274263.29104552	2881141.76671836	1701518.43888354
L-Alanine	52536.4106842356	30945.1633497848	22120.4574177424	44071.1527690182	12349.6448615772	19522.6550246362	30850.9595227431	43980.955334552	40874.9480196597	30291.0819226435	25544.4957400908	33510.0969023377	21908.0070534634	47486.0707581583	45103.3534816654	27765.027085549	23020.8273123977	26619.0927097199	24402.560198264	51237.8610133105	41124.3151229036	20320.6053510476	20395.8954921878	27855.1799156406	34767.8230236641	31058.6192624295	49968.1007614123	22685.7938422241	19011.6088695178	33310.661844478	36973.2318443665	12037.503099832	37010.9481184684	36645.5317310026	15379.1662859155	30980.8311219687	21340.1959657982	20191.4355717484	27222.4377692123	54107.8932357767	0.0	32326.938383822	13233.0497352707	132896.479732957	18672.2666339183	19504.3652577377	45612.6667589916	20879.9390902458	41093.0622066821	35672.5126572191	29915.8367929578	20861.4881965072	32678.3370326726	24999.6241627753	52107.2957169175	41448.0616627251	68708.686247842	23807.5385943683	55232.2618864714	15228.2590486637	11603.6678803265	39697.9410109223	42804.0435660407	82917.501120777	13172.0218303597	20582.6459429074	27426.8062346842	29626.1415912402	23576.9921264786	28707.3249696937	21802.1226647053	28971.8676237773	18376.3622391263	34946.6193020637	34747.9487887389	66772.6615528395	19311.3313724555	19112.7325724578	17438.4239166084	20537.4702793975	56114.6125817295	37757.9166972901	50771.0010902399	66329.3392458584	39632.8445362968	21800.2603858887	11659.3317608359	18196.9691815351	33014.4028365609	8748.64339022802	24011.8722517756	16081.621975924	10863.2304826625	19583.3808381146	38369.8929911203	37820.0597789451	32227.2324007896	30645.2347970719	22668.030246742	33827.8486859989	21719.2567693987	11068.0866797967	28262.3979164056	15255.1762058102	40839.464197385	55339.139716401	40560.6524383936	20995.3003379592	42761.5643288423	41931.3164060292	15278.1703039111
L-Asparagine	32545.5733315725	15350.1141555635	66799.1236890541	85119.9803262443	43636.2337802249	75881.9967138993	40777.5775535632	109457.39122474	93764.719512402	62053.9988461128	78683.1677742281	78333.6641326378	63610.5067566782	67937.4610304372	110969.647290303	8872.13893445144	5213.61198517184	4622.36333897706	5713.09443541349	12323.4044465505	10862.7889264844	5395.24890997775	6913.5656446908	6682.31408777901	17431.9401239709	6064.47331125641	11362.2123094137	37691.6209100308	40055.6678442295	58169.8566388941	52893.3598415371	38157.8584709551	55797.8263877972	63255.4750659907	51363.1497354544	33536.3203845067	37279.4881075627	4719.53370734964	4529.47917513011	5782.70786961138	73668.3254125363	57429.9848117086	14671.5709889098	121933.871269902	17558.5077525174	28260.4210490043	44362.3554648367	19526.5222565585	25181.8011037121	26079.2880391174	41717.3822180341	43756.6651312794	41206.1052491237	47995.1074240497	68670.2036395918	68606.1266565765	113439.112345225	44185.4790493865	67973.5374879755	57340.2609735648	94876.0419448552	7957.77498757972	5579.42102621472	6684.40812884165	5028.90559763965	20080.9627740531	7716.6414186499	12634.5203968611	19195.7724188752	20806.7843180977	27768.7479047153	27343.0337577049	29595.2226053134	42407.5366733871	72925.4935240999	56256.8214440294	34686.3965528695	39923.5992712477	70015.9292584687	71441.7611023157	106991.855519265	93846.1383520565	90921.760957879	5957.40979346533	6911.04894590637	4382.18246189432	5413.20785287218	9066.72707451946	24799.3981715286	19845.0559380093	5516.25254474397	4115.37791503571	3990.32722454642	3719.06017504554	21818.2062456929	6995.88204487521	13881.3199556429	14920.1354181248	24476.9619080485	8193.25670795996	7194.70696580428	41837.4758089825	35796.144863674	44964.1460312401	73625.6383638053	51906.6248400072	18142.2584671992	48108.5722361184	24777.9531866232	35146.2911934052	38148.0414021217
L-Isoleucine	1968388.84378849	3113546.84267046	1514671.78324888	1165136.94434282	1030567.4002579	1336695.99197471	3544028.31484457	1664003.47269051	2115503.60639654	2009155.73283537	7075675.52639378	4404205.91246458	2016733.81319274	3584202.71534177	2885370.94420555	2668348.25430063	1384918.97505223	878025.854729827	1337172.14506899	3141086.27655717	1378368.73089363	1819802.96027604	1184080.50726934	1179020.1949937	1074402.53333827	1528450.97059306	3029739.47815435	582341.365596225	947539.254674793	1167300.99048807	1251833.32318776	416118.931042324	1463776.71433066	1903696.48882114	780547.004843001	851069.227451459	498088.417877949	811132.907819291	2347582.3934759	686756.233600185	207012.153068075	878483.851561018	869137.171130638	1954799.35666382	710698.226982525	401145.541512348	506768.90063502	622197.486905148	269643.026801982	705062.908041797	279889.335299053	255464.488260705	398374.196417206	298397.637086242	418423.086251241	1225649.40975361	1652442.13669657	747786.696849918	2385281.75816569	1109454.52309417	188168.794968089	265379.226652471	905702.922044583	1370676.09277011	811978.147615953	1357139.44878131	1116254.50620431	922627.819456617	893429.376786051	1497239.19413596	1161458.52629911	1392064.80954019	1339489.23190188	945042.961655232	1215066.44642279	1679492.2136061	585042.353898826	909073.51245175	810229.812746511	1513331.03572636	3447726.04426046	4171149.4630928	1523312.03145023	7935726.49185266	3290844.17099851	1136054.42070909	315676.849571492	367241.443262067	911458.398493766	550869.280284541	598900.094099136	545825.378962695	572549.736642518	1186986.87851265	1351946.62439139	1172867.94018572	792634.181673396	1266402.67540107	776502.786093615	2015358.09591829	1419439.31462589	762463.74556853	1672793.97058337	1434708.97072092	2960828.45823111	3128692.3157166	2140746.44066908	1001303.67152901	1372303.04635096	1180163.27819229	1148553.76352078
L-Serine	755086.302610258	598815.218656778	295598.839993955	427532.795678233	269985.452296897	216040.782832298	195268.083990632	577616.510285944	801000.421684168	343085.960713445	162399.140104891	221340.207272775	138745.438020703	258614.991516276	567681.011651232	452695.865564665	448118.487371654	291582.458708143	532081.33493777	1170196.87978596	930232.0140627	176393.156744311	196441.951414986	329347.876852779	651753.739818983	252035.428855247	749763.051901525	247652.389905117	221225.370848426	516552.561832563	288252.353413914	78518.6341061456	976738.027028843	281777.405742785	85776.3956679628	199491.475854473	89145.5167444777	428812.327491701	339568.656060521	283422.361693195	1174818.28528326	567339.330760814	191138.066663822	1274681.647413	223130.74881572	166911.03632613	425771.021357036	153239.382603606	227599.129520593	432312.837070226	195481.295375394	94919.5576612555	233145.76808658	116645.551579516	221471.940833407	307652.951830751	307892.153676312	152473.446338229	343834.093579655	152834.151249572	915555.149871809	105650.223006304	174400.688766813	639360.521594421	88185.1060753372	293325.73221259	275467.718406074	266796.457311849	134861.900304464	409838.598425072	254338.840838563	734691.830820775	399733.467040861	279523.764607492	222980.315735968	1111682.29788231	70379.4350557998	162726.203854242	93180.0038547216	103771.960553636	354784.599344428	272235.268840785	232218.065767815	333276.945045427	765089.54428659	196330.989153318	173786.7262014	245467.260197022	448100.01630006	120833.614064839	186156.935123226	100603.168184739	70086.3021839945	339471.628351943	605905.431341261	922234.581138944	547279.885034222	363019.519208721	182676.081997939	615843.73269696	314133.411832239	127709.342487101	478384.877838	211307.462243991	688715.484182798	557531.954679747	654173.576512091	332691.619618051	360075.648506558	365669.338376425	158506.486777146
Lactic acid	20110753.3285886	2637007.61616536	2494898.78585945	5409916.89895216	664433.481518813	4096159.24573526	619603.668372692	11071229.7265533	7011570.79669714	4267765.61209427	295199.240130716	1020714.11491087	753174.448675527	4108901.5665501	3581943.73006865	40864259.9718959	2233771.98046572	13204712.8700964	1869943.65145942	6836228.61323557	2281389.56269005	3846369.62700947	3348532.09009234	7870771.07259246	571119.684490261	1442230.49969747	11973513.6519128	1015614.86990625	1011205.1126861	2046892.91486668	2620932.65687685	201869.465372685	2650970.0112738	3451265.38364321	112866.115890908	1366648.57937261	331321.545449664	1697144.07889341	20707327.0533475	28700207.0962292	4895349.78932401	11695614.9210734	914565.000241261	6066024.54442414	1977636.06739637	2053264.19571731	6631647.37602203	4010626.84500574	3008757.72366825	2668617.64635579	4021215.8119785	2185841.17041446	6536171.14064086	1217720.21821229	11848360.0503342	7120745.40135772	12699993.4169166	1610475.76139152	7486878.35468992	516663.048745783	3538839.92081528	430636.325895845	18796326.7265813	2506180.40971626	5648544.03761306	2261530.12767459	7595268.57807181	5487775.7911911	4611573.66302357	1143633.70684343	1796054.36520746	1987835.16586744	1342252.39636546	4052564.60934958	2039929.3894641	7679853.25955007	489505.800420218	670142.21429531	400639.366035378	1016854.33540289	2029029.44232161	1516561.17560147	4795649.68741837	39600084.6154318	28067327.7592164	16232265.6311989	438557.136217759	5099613.22768834	5189663.00556902	389927.792605707	6612976.68361309	417710.280724772	190431.878972797	1497605.58221185	1401376.36271551	5470315.0224201	1596584.02458192	5683418.524289	1529842.07517306	1040425.9769757	1328057.53717739	365701.76501043	3987151.36553236	473137.371818965	4400452.34017812	10769484.5074697	4779832.9011224	1838649.16163889	6034466.84860398	3739240.4807707	136164.349575833
Sulfoacetic acid	645828.656175013	841855.172292759	1188805.90396026	813179.462865456	1106554.00491853	1532035.13849586	1324963.9002911	1068362.22949952	1025902.79809395	1703371.21149763	1638343.57601432	1409834.52138491	1865558.39854514	1412172.17265591	1301419.61483687	1258108.99038584	1454915.77705649	1919114.92024239	1757385.43280267	1125110.81621545	1392750.13047423	1664086.2563359	1435951.04992647	1449073.10067424	1023976.34167335	1524812.25752248	1115917.46086486	1784163.09038226	1849136.52345203	1568249.19365837	1649448.45088291	1582348.80338366	1511717.82949035	1435266.89770043	2067076.45073005	1721018.05369245	1709868.4735429	1431614.39235054	1671777.41069541	1193268.83865745	135113.826804939	1416473.42829491	1736747.56232662	170896.733139457	1043688.81313733	1273178.5327219	1100151.49969126	1325716.76782686	1195220.41855502	1495590.52472887	1288540.58050313	1509422.0733509	1434339.28918051	1225628.24052617	1191484.27663496	1258137.64626733	1085489.51776997	1462695.47023095	1458110.83574194	1819305.18391232	170498.419174902	1448282.47535133	1071608.21585147	1271483.31602952	1552201.75797718	1258210.97906715	1492323.05459657	1300065.90023765	1464550.38564042	964441.331563012	1321163.83530016	1034373.79184451	1320217.09906218	1687205.60414401	1281821.3981134	1037838.27987212	1309968.65969203	1529706.94803353	1541406.19926932	1800073.80286803	1208037.85663887	1369475.94323506	1377375.64761887	574518.745798416	623578.712994774	1206051.19804944	1149750.47358427	1129830.98547795	1031925.07107443	891178.362073738	1079988.15297567	1750986.48013302	1477782.31219053	1289556.52403448	1043875.78332556	1400179.75367338	1133922.87670815	981949.303667812	1395389.9471326	965127.310122288	1267645.31072909	1504238.05027448	1642005.93285169	1459705.713496	933908.370178656	1098978.92201848	1957508.37708611	1679483.38751447	2252859.03586164	2226589.72027367	1628399.46956377
