sample	D300529	D300480	D300517	D300428	D300509	D300512	D300484	D300495	D300478	D300458	D300453	D300465	D300422	D300437	D300523	D300521	D300514	D300443	D300526	D300474	D300499	D300503	D300464	D300515	D300497
batch	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009
animal	G085	G086	G087	G088	G089	G059	G060	G061	G062	G063	G033	G035	G036	G037	G039	G008	G009	G010	G011	G012	G121	G122	G123	G124	G125
tissue	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta
treatment	TG1	TG1	TG1	TG1	TG1	TG2	TG2	TG2	TG2	TG2	TG3	TG3	TG3	TG3	TG3	TG4	TG4	TG4	TG4	TG4	TG5	TG5	TG5	TG5	TG5
day	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35
L-Tyrosine	1330194.07494476	3761603.58873876	5205200.99642182	3080580.60526598	3892372.05318958	2121601.98382006	701756.168687122	1882659.75781753	631047.39383887	2317379.06103632	536540.631703852	374557.463944845	1005025.2432392	397442.551695511	918253.988013204	341450.402791481	676358.324937445	463288.425812592	519878.358243316	427363.05488429	1533389.56479911	1534082.74693483	799052.748349736	1154861.9086068	1293202.31571859
L-Phenylalanine	3950385.79224954	13124521.903876	18075241.508035	8482253.88565525	12038492.0312555	4068227.77902756	1058103.50467417	3475704.22687324	1480611.43267531	5563986.58097753	1419908.27490389	767847.278939821	1623982.28049608	1151120.46181054	1553725.38061354	985032.66670117	1883922.09856307	1332456.80413608	1537512.0705063	1005837.47107135	1623591.13827129	819601.662471136	1112565.44215972	1233173.65460769	1361944.27807352
L-Tryptophan	1518710.29238708	2319915.71739288	1337547.7534244	1949337.13794327	1324227.417589	1472358.49287555	557446.116916545	1008217.58184259	781583.663299965	960210.4938505	875890.784287388	531961.903274303	795496.869155635	491432.849435242	1137060.10204287	731815.276706748	700905.210597447	603873.946360258	628647.406451426	518074.659057941	677719.530673236	527840.950359791	624959.315670022	685302.366041993	539703.721834996
L-Aspartic Acid	886589.999325813	1069136.05830151	553254.887201038	1218806.07373698	552881.751997181	625954.592609511	544970.958700881	874316.834727945	779320.909465667	929587.093138289	668459.523827729	528177.846984808	710156.488977672	410067.831722451	519771.638338291	535298.503300695	948715.731314185	867933.609154104	741824.63877426	650725.512213325	1687953.68786875	822080.655650599	1958121.59220591	1544765.75089033	797955.309557442
L-Arginine	9935035.26302761	10578106.6179656	8342693.93852517	9756206.14503782	4797242.01524642	8460166.56959024	4798724.25677231	4238808.08462958	5110216.74401275	4354636.68734505	5073449.9169564	4215411.64628277	7303672.96538768	4001578.67990599	7574712.02856434	3653772.78659701	4600717.05672179	4382834.9414142	4291712.38622843	2557303.21387435	9121889.97323241	11306250.1036264	7156602.74099851	9212572.45898847	8594715.39744077
L-Leucine	9968502.45169153	16552899.7773541	10371561.7679582	13114556.2907069	8220143.25885052	7054648.30350408	2952755.48582914	4816373.4666371	3131892.59439887	6337717.55031542	2002596.73254171	1833400.64514708	3588137.86131115	2788987.61737245	3494669.362372	1456788.21324585	2140346.21113651	1816502.91390632	2281088.13360012	1580513.39986819	4344553.90529256	1804642.3380686	2713565.63456357	2646091.92847414	2430629.90614994
L-Glutamic acid	1381556.15766558	6579662.4774729	4613222.89530348	6291137.14839829	5335347.73464334	3231210.48554742	2873264.40668292	2443161.92734272	1728730.16975281	3100411.74404954	2322565.44355139	2186529.62541843	2642294.1835784	2039274.86884451	4155458.84065979	3819263.0046871	3074488.82028051	3664198.99512217	2172640.03345649	2463368.86267713	4477989.80309637	3846286.57761951	3446288.60895411	3318750.80475557	3687177.28819695
L-Glutamine	6131800.40287357	4834274.62140835	2365733.77533402	3905944.22867883	1807677.56554778	2186200.79070556	2274727.70754603	2842413.74633187	5359723.34001028	3235553.65825539	2690426.83294109	4115162.25538226	4583532.71278363	3755052.53522997	3755798.51745883	981553.949570609	1061660.22008	755739.02640458	1756387.70453029	696247.698738738	2562744.29237127	1595869.14455961	2121663.49265467	3049044.86297741	1275949.13581939
L-Histidine	1469161.1892466	1136767.90447393	937398.456768025	1310019.9343662	592740.56020986	700412.756118725	2180937.71822752	1469482.01557195	1593757.90570619	2108073.90686518	1195881.4306336	1030444.30921351	941606.179279076	867454.16350267	909643.603261943	907349.415965754	1246193.70437996	1448084.78853015	1204375.59771752	1024546.60853901	1399225.99728665	1554722.19345636	3617492.07633915	1291594.17704219	1208463.33025644
L-Lysine	8322117.91536983	12572751.2501738	12772473.3256979	10451011.1472425	11756933.822209	10658223.686716	9415986.29461181	7783448.37505061	6206629.26650756	10110072.312718	8363575.65246357	6528366.14937477	7124447.33150754	6879228.21306153	8028856.06487382	7711730.7177928	6092256.48039606	7088876.36379133	6732488.68750725	5577929.67943132	11428046.3093744	11908581.2865599	9310833.28115798	12390326.988426	10472267.2406304
L-Methionine	1115002.16607175	2276674.89684362	1475413.07021753	1461994.77339001	1275313.2702591	750480.009391312	517123.747536452	787619.16049048	441555.437682058	696293.045025097	154348.973611845	264623.624501343	227136.297781357	351893.906949032	265139.025981143	124992.966625289	269892.576002705	211362.288634827	340135.400902577	333145.826055841	183907.459659142	88180.8715169535	300121.737308853	108877.357898088	271654.698490455
L-Proline	17729266.0329122	28708584.6936675	19817650.3652778	25720478.0264693	21524557.6944761	14824501.2221481	18566831.9855058	24134931.6276234	13319801.1219875	27003525.1011585	39972225.9419426	53441574.152265	21290462.2724559	34990935.0394233	18838795.6205128	20871696.9053783	31480792.2552411	18779216.8076187	22783080.0337712	21395121.0798878	23732365.7478573	32339378.0244238	66541297.9007787	27479413.0930823	27313934.2628847
L-Threonine	2257556.61490751	2057270.14150281	1127103.0498634	1911338.54070942	1122410.48109219	1051211.05346766	1112603.62330686	1122247.91948974	1437337.06511927	1309221.7012812	811575.271597883	947254.750316571	1254161.58118472	744146.687407654	917309.306368319	625919.87565746	754280.520699464	659203.078504068	869393.230748368	676859.44142117	1188287.26208451	820249.299794203	1103338.87546518	892947.565854585	669131.108252029
Thiamine	3394150.92000427	5155233.15281651	3528561.49540519	5088619.57050951	1825432.15136021	487264.724025797	2461460.11303506	7820952.87865307	4411537.76236213	6454116.01590208	413869.630746006	371526.700871821	544642.36988976	437486.410191464	804103.649336384	269355.477639247	548102.889271037	332742.463628482	1792615.32924424	786082.217834244	16185.9371933174	26189.6968821212	59263.531251337	58423.3345337449	117566.91780349
Adenine	1405613.26592634	204119.355710356	180568.727813959	408014.536083774	171948.095854082	582298.662411947	227381.146172668	174200.051060854	476732.154021295	268630.423686782	352962.298019859	1021154.6065363	1283364.99959779	1531457.01054575	895821.805126605	385804.386149091	430605.609853712	683493.840411676	554299.510076766	271684.631063928	410715.225819256	463903.5446973	421081.969830812	597861.071114472	360081.80370957
Guanosine	679256.115547903	78328.400703066	65575.8842758691	90244.5244418956	58848.3826563774	52742.0697162176	52791.5422619802	47300.8701079648	246875.527728814	31952.9238106039	71758.4918581006	146875.688748596	317286.057563234	117943.678070876	135131.757324503	111738.623477797	225340.843443295	119798.986914573	255607.542343105	149424.4519421	352001.20354717	185803.498188704	210226.01065619	342650.815527941	104680.837980535
L-Valine	7368018.0674571	4891955.79679389	5056964.86094769	5500886.19988458	3338408.48762353	4123943.80237264	2602928.1562074	1714070.1826751	3196401.70504541	2108924.15587498	2061259.8672513	1006163.02493595	3183592.50939166	1424714.99284816	1854461.58663241	1367248.62188526	1395437.74814255	1465201.33279272	1728882.77567334	1954085.7630102	2982403.01996402	1071228.60128819	1274263.29104552	2881141.76671836	1701518.43888354
L-Alanine	52536.4106842356	30945.1633497848	22120.4574177424	44071.1527690182	12349.6448615772	20320.6053510476	20395.8954921878	27855.1799156406	34767.8230236641	31058.6192624295	18672.2666339183	19504.3652577377	45612.6667589916	20879.9390902458	41093.0622066821	23576.9921264786	28707.3249696937	21802.1226647053	28971.8676237773	18376.3622391263	40560.6524383936	20995.3003379592	42761.5643288423	41931.3164060292	15278.1703039111
L-Asparagine	32545.5733315725	15350.1141555635	66799.1236890541	85119.9803262443	43636.2337802249	5395.24890997775	6913.5656446908	6682.31408777901	17431.9401239709	6064.47331125641	17558.5077525174	28260.4210490043	44362.3554648367	19526.5222565585	25181.8011037121	19195.7724188752	20806.7843180977	27768.7479047153	27343.0337577049	29595.2226053134	18142.2584671992	48108.5722361184	24777.9531866232	35146.2911934052	38148.0414021217
L-Isoleucine	1968388.84378849	3113546.84267046	1514671.78324888	1165136.94434282	1030567.4002579	1819802.96027604	1184080.50726934	1179020.1949937	1074402.53333827	1528450.97059306	710698.226982525	401145.541512348	506768.90063502	622197.486905148	269643.026801982	893429.376786051	1497239.19413596	1161458.52629911	1392064.80954019	1339489.23190188	2140746.44066908	1001303.67152901	1372303.04635096	1180163.27819229	1148553.76352078
L-Serine	755086.302610258	598815.218656778	295598.839993955	427532.795678233	269985.452296897	176393.156744311	196441.951414986	329347.876852779	651753.739818983	252035.428855247	223130.74881572	166911.03632613	425771.021357036	153239.382603606	227599.129520593	134861.900304464	409838.598425072	254338.840838563	734691.830820775	399733.467040861	654173.576512091	332691.619618051	360075.648506558	365669.338376425	158506.486777146
Lactic acid	20110753.3285886	2637007.61616536	2494898.78585945	5409916.89895216	664433.481518813	3846369.62700947	3348532.09009234	7870771.07259246	571119.684490261	1442230.49969747	1977636.06739637	2053264.19571731	6631647.37602203	4010626.84500574	3008757.72366825	4611573.66302357	1143633.70684343	1796054.36520746	1987835.16586744	1342252.39636546	4779832.9011224	1838649.16163889	6034466.84860398	3739240.4807707	136164.349575833
Sulfoacetic acid	645828.656175013	841855.172292759	1188805.90396026	813179.462865456	1106554.00491853	1664086.2563359	1435951.04992647	1449073.10067424	1023976.34167335	1524812.25752248	1043688.81313733	1273178.5327219	1100151.49969126	1325716.76782686	1195220.41855502	1464550.38564042	964441.331563012	1321163.83530016	1034373.79184451	1320217.09906218	1957508.37708611	1679483.38751447	2252859.03586164	2226589.72027367	1628399.46956377
