treatment	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5	TG5
day	14	21	14	14	7	21	21	35	28	14	7	28	35	35	35	28	21	21	35	28	28
salmonella	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No
synbiotic_water	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No
synbiotic_feed	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No
L-Tyrosine	3.763742e+05	 1546472.77	  526227.28	 1699028.733	  672153.31	 1588435.764	 2283037.82	  799052.75	 1341896.49	  359246.998	  374898.276	 2308551.44	 1293202.32	 1533389.56	 1534082.75	 1783028.21	 5251982.40	 1157299.323	 1154861.91	 1125861.83	 1143189.70
L-Phenylalanine	8.176808e+05	 2574471.48	 1753630.51	 1873840.009	 2686876.17	 2637413.561	 2274354.52	 1112565.44	 1433684.92	  555864.684	  480322.134	 4234876.16	 1361944.28	 1623591.14	  819601.66	 3969178.65	11604854.48	 2325329.262	 1233173.65	 1744189.10	  606643.19
L-Tryptophan	8.384089e+05	 1378426.93	  676495.75	  841761.606	  836231.78	 1130461.241	  978629.01	  624959.32	  710300.82	  650422.520	  734133.771	 1648267.30	  539703.72	  677719.53	  527840.95	 1458030.17	  908265.00	 1266711.507	  685302.37	 1151889.73	  795969.03
L-Aspartic Acid	6.124773e+05	 1111258.48	  368827.75	  760435.670	  689361.41	 1202762.846	 1118623.04	 1958121.59	 1145907.44	  458010.023	  454350.239	 1798951.99	  797955.31	 1687953.69	  822080.66	 1453514.43	 1213160.58	  968274.477	 1544765.75	  958569.09	  875043.61
L-Arginine	4.477350e+06	 8009678.27	 2226143.07	 6753825.669	 3625572.80	 7219520.051	 7393321.76	 7156602.74	 8584222.44	 2771855.433	 2876824.215	10032871.82	 8594715.40	 9121889.97	11306250.10	 9116631.46	 7152918.92	 6115570.545	 9212572.46	 8254736.45	 9331852.13
L-Leucine	9.988929e+05	 5833618.99	 2733500.09	 4787010.854	 3121844.99	 5577910.976	 2410369.82	 2713565.63	 3260478.54	 1066095.359	 1039652.036	 7408303.33	 2430629.91	 4344553.91	 1804642.34	 8372038.82	 3124443.58	 5091041.655	 2646091.93	 4051846.46	 1107780.86
L-Glutamic acid	3.724094e+06	 3471628.53	 3382922.70	 3979426.857	 3328180.11	 3861885.395	 3865735.54	 3446288.61	 4734023.61	 2862135.601	 3851971.733	 5397017.72	 3687177.29	 4477989.80	 3846286.58	 4544014.13	 3517631.57	 2779564.565	 3318750.80	 3661020.48	 3847137.91
L-Glutamine	5.471718e+05	 2943970.32	 1217745.94	 2289319.036	 4052035.96	 2238992.763	 2913995.41	 2121663.49	 2380836.77	 1687824.850	  535089.168	 3524195.08	 1275949.14	 2562744.29	 1595869.14	 4911478.13	 2901841.03	 4262581.852	 3049044.86	 2121878.39	 1993521.06
L-Histidine	5.853515e+05	 1670604.02	  713026.29	 1448424.966	 1262135.06	 1510726.846	 1070038.81	 3617492.08	  778742.57	  448646.629	  630815.781	 4293749.97	 1208463.33	 1399226.00	 1554722.19	 1548295.40	 1307679.30	 2074787.137	 1291594.18	 1287748.53	  815474.13
L-Lysine	8.349087e+06	 6567615.59	 7599441.52	 8729426.970	 6604626.36	 7567586.692	 9890193.49	 9310833.28	 9538323.41	 5570949.425	 8810684.046	 8997122.51	10472267.24	11428046.31	11908581.29	 6316917.23	 8369024.98	 7196531.019	12390326.99	10138975.17	12056867.48
L-Methionine	1.971148e+05	  671434.57	  277737.47	  334112.976	  371094.91	  455930.083	  175445.82	  300121.74	  183643.70	  239372.549	  172707.141	  705883.75	  271654.70	  183907.46	   88180.87	 1084067.11	  302199.07	  578809.139	  108877.36	  504863.12	  169046.00
L-Proline	1.220483e+08	43633398.82	38666560.88	14460317.373	37007977.06	43565133.671	41812351.46	66541297.90	53098719.00	69936914.936	41342302.180	23449078.04	27313934.26	23732365.75	32339378.02	48934291.07	62563820.74	62313491.085	27479413.09	47035728.31	56346819.45
L-Threonine	6.179845e+05	 1105307.33	 1086003.69	  930567.557	  905242.47	  829386.100	  888778.73	 1103338.88	  997959.50	  868111.429	  722718.769	 1293955.78	  669131.11	 1188287.26	  820249.30	 1506980.61	 1074052.70	 1539036.990	  892947.57	  976847.60	  779540.03
Thiamine	3.988176e+05	  841287.11	 1393204.14	  705682.586	 2424759.57	  623314.551	  448822.47	   59263.53	   52817.84	 1655512.329	  996705.197	  203810.66	  117566.92	   16185.94	   26189.70	  512785.70	  327232.16	 3107009.983	   58423.33	   43536.24	  190224.20
Adenine	2.280367e+06	  444358.15	  464148.14	  167241.371	  238893.09	  414215.165	  232407.85	  421081.97	  440983.59	  932070.014	  382810.859	  496824.70	  360081.80	  410715.23	  463903.54	  685535.08	  424157.81	  672634.229	  597861.07	  413817.21	  411093.96
Guanosine	3.650489e+04	  117743.12	  102578.47	   51922.347	  100748.33	   94516.052	   60970.36	  210226.01	  258268.95	   57364.415	  116434.495	  400027.08	  104680.84	  352001.20	  185803.50	  187988.36	  116688.18	  378020.147	  342650.82	  120334.37	   59568.99
L-Valine	5.059820e+05	 1407749.84	 1083864.99	 2825054.304	 2736470.88	 1620275.199	 1289323.58	 1274263.29	 2048338.23	  787143.641	  682533.647	 4471752.15	 1701518.44	 2982403.02	 1071228.60	 2512558.36	  791016.27	 3022541.226	 2881141.77	 2196005.33	  854093.50
L-Alanine	1.608162e+04	   30645.23	   19583.38	   37820.060	   38369.89	   21719.257	   22668.03	   42761.56	   28262.40	   24011.872	   10863.230	   55339.14	   15278.17	   40560.65	   20995.30	   40839.46	   32227.23	   33827.849	   41931.32	   15255.18	   11068.09
L-Asparagine	4.115378e+03	   14920.14	    3719.06	    6995.882	   21818.21	    7194.707	   24476.96	   24777.95	   35796.14	    5516.253	    3990.327	   51906.62	   38148.04	   18142.26	   48108.57	   73625.64	   13881.32	    8193.257	   35146.29	   44964.15	   41837.48
L-Isoleucine	5.458254e+05	 1266402.68	 1186986.88	 1172867.940	 1351946.62	 1419439.315	  776502.79	 1372303.05	 1672793.97	  598900.094	  572549.737	 3128692.32	 1148553.76	 2140746.44	 1001303.67	 2960828.46	  792634.18	 2015358.096	 1180163.28	 1434708.97	  762463.75
L-Serine	1.006032e+05	  363019.52	  339471.63	  922234.581	  605905.43	  314133.412	  182676.08	  360075.65	  478384.88	  186156.935	   70086.302	  557531.95	  158506.49	  654173.58	  332691.62	  688715.48	  547279.89	  615843.733	  365669.34	  211307.46	  127709.34
Lactic acid	4.177103e+05	 5683418.52	 1497605.58	 5470315.022	 1401376.36	 1328057.537	 1529842.08	 6034466.85	 3987151.37	 6612976.684	  190431.879	10769484.51	  136164.35	 4779832.90	 1838649.16	 4400452.34	 1596584.02	 1040425.977	 3739240.48	  473137.37	  365701.77
Sulfoacetic acid	1.750986e+06	  981949.30	 1289556.52	 1400179.754	 1043875.78	 1267645.311	 1395389.95	 2252859.04	 1642005.93	 1079988.153	 1477782.312	 1098978.92	 1628399.47	 1957508.38	 1679483.39	  933908.37	 1133922.88	  965127.310	 2226589.72	 1459705.71	 1504238.05
